Customer_ID,Company_Name,Industry,State,Employee_Count,Acquisition_Channel,Subscription_Plan,Start_Date,Last_Renewal_Date,Subscription_Valid_Until,Monthly_Recurring_Fee,Discount_Percent,Total_Renewals,Support_Tickets,Product_Usage_Score,Customer_Satisfaction,Churn_Reason,Last_Login_Date
CUST00015,Crescent Digital Works Pvt Ltd,Information Technology,Maharashtra,21,Sales Team,Professional,8/11/2024,12/11/2025,1/11/2026,4999,5,16,3,58,2,Not Applicable,9/22/2025
CUST00016,Nova Technologies Pvt Ltd,Real Estate,West Bengal,796,Paid Ads,Business,9/6/2025,12/6/2025,1/6/2026,9999,5,3,2,59,3,Not Applicable,10/17/2025
CUST00017,Yukta Cloud Services India Pvt Ltd,Financial Services,Kerala,2,Social Media,Basic,2/16/2023,12/16/2025,1/16/2026,1999,5,34,3,56,3,Not Applicable,11/4/2025
CUST00018,Samarth Data Systems Pvt Ltd,E-commerce & Retail,Gujarat,204,Organic Search,Basic,10/3/2025,11/3/2025,12/3/2025,1999,0,1,1,74,3,Missing Features,10/19/2025
CUST00019,Zenith Innovations Pvt Ltd,Healthcare,Karnataka,23,Sales Team,Basic,5/11/2023,5/11/2025,5/11/2026,1999,5,2,4,54,3,Not Applicable,12/23/2025
CUST00020,Quest Networks Pvt Ltd,E-commerce & Retail,Maharashtra,92,Partner,Professional,11/27/2024,11/27/2025,11/27/2026,4999,0,1,26,50,2,Not Applicable,12/27/2025
CUST00021,Uday Advisory Pvt Ltd,Information Technology,Karnataka,48,Partner,Business,7/21/2024,12/21/2025,1/21/2026,9999,10,17,6,87,4,Not Applicable,11/29/2025
CUST00022,Horizon SoftTech Pvt Ltd,Information Technology,Delhi,563,Sales Team,Business,4/7/2023,4/7/2025,4/7/2026,9999,10,2,2,80,4,Not Applicable,9/9/2025
CUST00023,Galaxy IT Services Private Limited,Logistics & Transportation,Delhi,22,Partner,Basic,12/13/2024,10/13/2025,11/13/2025,1999,0,10,4,37,2,Low Product Usage,8/27/2025
CUST00024,Axiom Enterprise Solutions Pvt Ltd,Manufacturing,Karnataka,45,Paid Ads,Professional,5/8/2025,12/8/2025,1/8/2026,4999,10,7,4,60,3,Not Applicable,12/24/2025
CUST00025,Pragati IT Services India Pvt Ltd,Healthcare,Maharashtra,519,Sales Team,Business,3/13/2023,12/13/2025,1/13/2026,9999,0,33,0,88,4,Not Applicable,12/21/2025
CUST00026,Samarth Process Solutions India Pvt Ltd,E-commerce & Retail,Karnataka,228,Organic Search,Professional,4/12/2023,12/12/2025,1/12/2026,4999,5,32,2,76,4,Not Applicable,11/20/2025
CUST00027,Zenith Platforms India Pvt Ltd,Manufacturing,Uttar Pradesh,4257,Sales Team,Business,11/24/2024,11/24/2025,11/24/2026,9999,5,1,25,81,3,Not Applicable,12/17/2025
CUST00028,Elara Infotech Pvt Ltd,Information Technology,Karnataka,217,Partner,Professional,3/19/2024,12/19/2025,1/19/2026,4999,5,21,2,74,4,Not Applicable,11/9/2025
CUST00029,Yukta Innovation Labs Private Limited,Financial Services,Karnataka,433,Paid Ads,Business,9/9/2024,9/9/2025,9/9/2026,9999,0,1,46,89,3,Not Applicable,12/31/2025
CUST00030,Arvind Digital Private Limited,Professional Services,Uttar Pradesh,66,Referral,Basic,8/15/2023,8/15/2025,8/15/2026,1999,5,2,3,68,4,Not Applicable,12/23/2025
CUST00031,Kaveri Data Systems Pvt Ltd,Information Technology,Rajasthan,156,Referral,Basic,6/9/2023,1/9/2024,2/9/2024,1999,5,7,4,61,4,Switched to Competitor,1/13/2024
CUST00032,Cedar Analytics India Pvt Ltd,Education,Karnataka,4646,Paid Ads,Basic,3/3/2024,8/3/2024,9/3/2024,1999,0,5,7,39,3,Price Too High,8/8/2024
CUST00033,Gateway Growth Solutions Private Limited,Logistics & Transportation,Maharashtra,14,Sales Team,Basic,2/2/2023,2/2/2025,2/2/2026,1999,0,2,2,69,4,Not Applicable,12/24/2025
CUST00034,Nexa Ventures Private Limited,Healthcare,Karnataka,183,Organic Search,Professional,6/26/2023,6/26/2025,6/26/2026,4999,0,2,8,81,4,Not Applicable,11/17/2025
CUST00035,Uday Business Solutions Pvt Ltd,Education,Telangana,430,Referral,Professional,6/3/2025,12/3/2025,1/3/2026,4999,5,6,0,67,4,Not Applicable,12/30/2025
CUST00036,Skyline DataWorks Pvt Ltd,E-commerce & Retail,Telangana,136,Partner,Business,12/10/2024,12/10/2025,12/10/2026,9999,5,1,3,77,4,Not Applicable,12/14/2025
CUST00037,Valiant Digital Works Private Limited,Real Estate,Andhra Pradesh,107,Referral,Business,1/9/2023,12/9/2025,1/9/2026,9999,10,35,7,88,4,Not Applicable,11/20/2025
CUST00038,Deccan Labs India Pvt Ltd,Manufacturing,Gujarat,41,Organic Search,Basic,3/31/2023,12/31/2025,1/31/2026,1999,0,33,8,39,2,Not Applicable,12/26/2025
CUST00039,Cosmos Consulting Pvt Ltd,Education,Haryana,2223,Social Media,Professional,9/25/2023,7/25/2025,8/25/2025,4999,0,22,50,91,2,Poor Support,2/13/2025
CUST00040,Orbit Business Systems Private Limited,Information Technology,Karnataka,45,Organic Search,Professional,5/9/2025,12/9/2025,1/9/2026,4999,5,7,10,75,4,Not Applicable,11/7/2025
CUST00041,Solara Systems India Pvt Ltd,Media & Marketing,Kerala,166,Organic Search,Business,6/8/2023,6/8/2025,6/8/2026,9999,5,2,41,100,3,Not Applicable,7/22/2025
CUST00042,Yash IT Services India Pvt Ltd,Healthcare,Karnataka,41,Partner,Professional,9/8/2023,9/8/2025,9/8/2026,4999,5,2,11,75,3,Not Applicable,12/1/2025
CUST00043,GreenLeaf Innovations Private Limited,Manufacturing,Haryana,928,Paid Ads,Enterprise,10/17/2023,12/17/2025,1/17/2026,24999,20,26,6,61,3,Not Applicable,12/25/2025
CUST00044,Orion Business Technologies Pvt Ltd,Manufacturing,Karnataka,61,Social Media,Business,11/30/2024,12/30/2025,1/30/2026,9999,5,13,3,81,4,Not Applicable,12/3/2025
CUST00045,Pinnacle Solutions Private Limited,Information Technology,Delhi,199,Organic Search,Business,2/18/2024,2/18/2025,2/18/2026,9999,5,1,6,62,3,Not Applicable,12/3/2025
CUST00046,Cosmos Business Solutions Pvt Ltd,Logistics & Transportation,Maharashtra,53,Social Media,Basic,5/15/2024,5/15/2025,5/15/2026,1999,5,1,13,64,3,Not Applicable,11/15/2025
CUST00047,Jeevan Enterprise Technologies Pvt Ltd,E-commerce & Retail,Haryana,234,Organic Search,Professional,6/9/2024,6/9/2025,6/9/2026,4999,5,1,0,49,3,Not Applicable,12/8/2025
CUST00048,Deccan Digital Works India Pvt Ltd,Financial Services,Telangana,16,Referral,Business,11/12/2024,11/12/2025,11/12/2026,9999,5,1,4,60,3,Not Applicable,12/20/2025
CUST00049,Axiom Enterprise Technologies Private Limited,E-commerce & Retail,Maharashtra,63,Social Media,Business,11/27/2024,11/27/2025,11/27/2026,9999,10,1,10,59,2,Not Applicable,12/7/2025
CUST00050,Coral Analytics Private Limited,Healthcare,Tamil Nadu,854,Organic Search,Business,4/24/2023,4/24/2025,4/24/2026,9999,5,2,10,65,3,Not Applicable,12/26/2025
CUST00051,WestBridge Business Systems Pvt Ltd,Information Technology,Maharashtra,12,Referral,Professional,2/19/2023,4/19/2023,5/19/2023,4999,10,2,1,53,4,Low Product Usage,4/13/2023
CUST00052,Arvind Enterprise Solutions Pvt Ltd,Information Technology,Haryana,157,Referral,Business,10/25/2023,12/25/2025,1/25/2026,9999,5,26,2,65,3,Not Applicable,12/30/2025
CUST00053,Cynosure Software Pvt Ltd,Financial Services,Rajasthan,63,Organic Search,Basic,7/11/2023,12/11/2025,1/11/2026,1999,0,29,4,43,2,Not Applicable,12/24/2025
CUST00054,Ananta Automation India Pvt Ltd,E-commerce & Retail,Telangana,857,Referral,Enterprise,11/13/2023,12/13/2025,1/13/2026,24999,15,25,1,85,4,Not Applicable,11/8/2025
CUST00055,Mango Information Systems Private Limited,Information Technology,Karnataka,603,Referral,Professional,3/31/2023,12/31/2025,1/31/2026,4999,5,33,4,48,3,Not Applicable,10/25/2025
CUST00056,Aarav Technology Services Private Limited,Information Technology,Karnataka,48,Referral,Basic,12/28/2024,12/28/2025,1/28/2026,1999,0,12,8,67,3,Not Applicable,11/21/2025
CUST00057,Emerald Digital Works Pvt Ltd,Education,Telangana,31,Paid Ads,Basic,6/12/2023,6/12/2025,6/12/2026,1999,0,2,1,68,3,Not Applicable,12/29/2025
CUST00058,Vyom Business Solutions Pvt Ltd,Information Technology,Andhra Pradesh,706,Social Media,Business,5/12/2023,12/12/2025,1/12/2026,9999,15,31,7,61,3,Not Applicable,12/27/2025
CUST00059,BrightPath Ventures Private Limited,Media & Marketing,Karnataka,9,Sales Team,Basic,5/23/2023,7/23/2023,8/23/2023,1999,0,2,7,22,1,Missing Features,6/11/2023
CUST00060,Shakti Innovations Private Limited,Financial Services,Maharashtra,750,Partner,Business,1/24/2024,12/24/2025,1/24/2026,9999,5,23,1,79,4,Not Applicable,12/16/2025
CUST00061,Neptune Data Systems India Pvt Ltd,Information Technology,Maharashtra,120,Partner,Business,11/11/2023,8/11/2025,9/11/2025,9999,0,21,3,75,3,Price Too High,3/12/2025
CUST00062,Everest Enterprise Solutions Private Limited,Information Technology,Karnataka,25,Sales Team,Basic,1/26/2024,12/26/2025,1/26/2026,1999,0,23,10,62,3,Not Applicable,12/13/2025
CUST00063,BluePeak TechWorks Pvt Ltd,E-commerce & Retail,Tamil Nadu,149,Referral,Basic,7/19/2023,7/19/2024,7/19/2025,1999,5,1,5,74,4,Low Product Usage,12/26/2024
CUST00064,Quant Solutions Private Limited,Manufacturing,Gujarat,95,Organic Search,Business,11/24/2025,12/24/2025,1/24/2026,9999,0,1,10,55,3,Not Applicable,12/10/2025
CUST00065,Synapse Technology Services India Pvt Ltd,Healthcare,Karnataka,909,Sales Team,Professional,10/19/2024,10/19/2025,10/19/2026,4999,0,1,5,59,3,Not Applicable,12/25/2025
CUST00066,Bharat Systems Private Limited,Education,Rajasthan,709,Paid Ads,Business,5/6/2024,12/6/2024,1/6/2025,9999,5,7,23,50,1,Switched to Competitor,8/12/2024
CUST00067,Cynosure SoftTech India Pvt Ltd,Logistics & Transportation,Karnataka,47,Paid Ads,Basic,12/7/2023,12/7/2025,1/7/2026,1999,0,24,1,45,3,Not Applicable,12/10/2025
CUST00068,Astra Smart Solutions Private Limited,Financial Services,Karnataka,201,Paid Ads,Professional,2/4/2023,12/4/2025,1/4/2026,4999,0,34,4,68,3,Not Applicable,12/31/2025
CUST00069,Axiom IT Services Private Limited,E-commerce & Retail,Andhra Pradesh,508,Paid Ads,Professional,7/15/2024,10/15/2025,11/15/2025,4999,10,15,35,63,2,Switched to Competitor,4/2/2025
CUST00070,Sapphire Technology Partners Pvt Ltd,Information Technology,West Bengal,34,Sales Team,Basic,3/5/2023,12/5/2025,1/5/2026,1999,5,33,3,62,3,Not Applicable,12/21/2025
CUST00071,Triveni Business Systems India Pvt Ltd,Real Estate,Maharashtra,134,Organic Search,Professional,12/3/2024,12/3/2025,12/3/2026,4999,5,1,8,45,3,Not Applicable,12/22/2025
CUST00072,Xcel Information Systems Pvt Ltd,Education,Delhi,201,Sales Team,Professional,5/1/2024,12/1/2025,1/1/2026,4999,5,19,4,72,3,Not Applicable,12/2/2025
CUST00073,Kinetic TechWorks Private Limited,Manufacturing,Karnataka,411,Sales Team,Professional,2/1/2023,12/1/2025,1/1/2026,4999,5,34,9,69,3,Not Applicable,11/19/2025
CUST00074,Vertex Ventures Pvt Ltd,Manufacturing,Telangana,963,Referral,Professional,5/25/2024,5/25/2025,5/25/2026,4999,10,1,6,64,3,Not Applicable,12/7/2025
CUST00075,Indigo Business Technologies Private Limited,Real Estate,Uttar Pradesh,28,Organic Search,Professional,8/18/2024,12/18/2025,1/18/2026,4999,5,16,1,51,3,Not Applicable,12/27/2025
CUST00076,Insight Business Technologies Private Limited,Financial Services,Karnataka,32,Sales Team,Basic,9/16/2024,12/16/2025,1/16/2026,1999,5,15,2,46,3,Not Applicable,12/2/2025
CUST00077,Radiant Business Technologies Private Limited,Financial Services,Telangana,683,Organic Search,Enterprise,4/21/2023,4/21/2025,4/21/2026,24999,20,2,5,88,4,Not Applicable,12/19/2025
CUST00078,Saffron Innovation Labs India Pvt Ltd,Financial Services,Gujarat,893,Social Media,Professional,6/28/2024,6/28/2025,6/28/2026,4999,5,1,5,59,3,Not Applicable,11/15/2025
CUST00079,Gateway Labs India Pvt Ltd,Financial Services,Tamil Nadu,248,Referral,Professional,8/21/2023,12/21/2025,1/21/2026,4999,5,28,29,72,2,Not Applicable,11/26/2025
CUST00080,Riviera Innovations India Pvt Ltd,Healthcare,Tamil Nadu,467,Paid Ads,Business,8/20/2025,12/20/2025,1/20/2026,9999,5,4,7,72,4,Not Applicable,12/22/2025
CUST00081,Gateway Digital Solutions Private Limited,E-commerce & Retail,Uttar Pradesh,150,Social Media,Professional,6/26/2023,12/26/2025,1/26/2026,4999,5,30,7,52,3,Not Applicable,12/3/2025
CUST00082,Shakti Digital Private Limited,Information Technology,Haryana,36,Sales Team,Professional,2/23/2025,12/23/2025,1/23/2026,4999,5,10,4,86,3,Not Applicable,9/30/2025
CUST00083,Omni Ventures Private Limited,Logistics & Transportation,West Bengal,99,Paid Ads,Enterprise,11/11/2023,11/11/2025,11/11/2026,24999,10,2,0,66,4,Not Applicable,12/18/2025
CUST00084,Jupiter Technology Services Private Limited,Information Technology,Telangana,31,Social Media,Professional,10/8/2024,10/8/2025,10/8/2026,4999,5,1,17,89,4,Not Applicable,12/7/2025
CUST00085,Crest Services Private Limited,Information Technology,Delhi,4528,Sales Team,Enterprise,3/26/2024,3/26/2025,3/26/2026,24999,20,1,14,66,3,Not Applicable,11/9/2025
CUST00086,Neptune Innovation Labs Pvt Ltd,Information Technology,Kerala,44,Sales Team,Basic,2/28/2024,2/28/2025,2/28/2026,1999,0,1,0,43,3,Not Applicable,12/2/2025
CUST00087,Jeevan Smart Solutions Pvt Ltd,E-commerce & Retail,West Bengal,730,Organic Search,Business,3/19/2023,12/19/2025,1/19/2026,9999,5,33,13,49,2,Not Applicable,12/27/2025
CUST00088,Cedar Software Private Limited,E-commerce & Retail,Maharashtra,921,Sales Team,Enterprise,12/9/2023,12/9/2025,1/9/2026,24999,20,24,8,79,3,Not Applicable,12/12/2025
CUST00089,BrightPath Technology Partners Pvt Ltd,Information Technology,Karnataka,62,Organic Search,Professional,4/6/2025,12/6/2025,1/6/2026,4999,5,8,6,72,3,Not Applicable,11/15/2025
CUST00090,Astra Process Solutions India Pvt Ltd,E-commerce & Retail,Gujarat,133,Partner,Enterprise,1/3/2024,1/3/2025,1/3/2026,24999,20,1,17,77,3,Not Applicable,12/15/2025
CUST00091,Jade Business Systems Private Limited,Professional Services,Rajasthan,882,Referral,Basic,6/13/2023,6/13/2025,6/13/2026,1999,5,2,5,72,4,Not Applicable,11/14/2025
CUST00092,Neptune Systems Private Limited,Education,Kerala,33,Paid Ads,Business,5/31/2024,12/31/2025,1/31/2026,9999,10,19,15,46,2,Not Applicable,11/28/2025
CUST00093,Nexa Enterprise Technologies Pvt Ltd,Logistics & Transportation,Telangana,198,Referral,Professional,8/9/2023,12/9/2025,1/9/2026,4999,10,28,3,53,3,Not Applicable,12/13/2025
CUST00094,Nimble Analytics Pvt Ltd,Professional Services,Maharashtra,133,Partner,Business,11/5/2023,12/5/2025,1/5/2026,9999,0,25,1,82,4,Not Applicable,12/30/2025
CUST00095,TrueNorth Business Services Pvt Ltd,Education,Maharashtra,46,Sales Team,Professional,11/24/2024,12/24/2025,1/24/2026,4999,0,13,6,87,4,Not Applicable,12/15/2025
CUST00096,SilverLine Business Solutions Private Limited,Logistics & Transportation,Delhi,117,Paid Ads,Basic,9/29/2024,12/29/2025,1/29/2026,1999,0,15,5,49,3,Not Applicable,12/1/2025
CUST00097,Horizon Innovations Pvt Ltd,Financial Services,Tamil Nadu,1066,Social Media,Enterprise,10/29/2023,10/29/2024,10/29/2025,24999,10,1,1,70,4,Low Product Usage,6/3/2025
CUST00098,Orion Enterprise Solutions Pvt Ltd,Logistics & Transportation,Karnataka,20,Paid Ads,Basic,10/13/2025,12/13/2025,1/13/2026,1999,0,2,1,41,3,Not Applicable,12/29/2025
CUST00099,Aditya Digital India Pvt Ltd,Logistics & Transportation,Kerala,237,Organic Search,Business,7/20/2025,12/20/2025,1/20/2026,9999,0,5,4,74,3,Not Applicable,12/28/2025
CUST00100,Shree Digital Solutions India Pvt Ltd,Logistics & Transportation,Gujarat,2311,Organic Search,Business,1/1/2023,12/1/2025,1/1/2026,9999,5,35,11,43,2,Not Applicable,9/7/2025
CUST00101,Kite CloudWorks India Pvt Ltd,Education,Maharashtra,530,Referral,Business,6/27/2024,6/27/2025,6/27/2026,9999,10,1,14,80,3,Not Applicable,11/17/2025
CUST00102,Xcel Growth Solutions Pvt Ltd,Information Technology,Delhi,1762,Referral,Enterprise,4/11/2023,4/11/2025,4/11/2026,24999,10,2,10,89,4,Not Applicable,12/25/2025
CUST00103,Veda Innovation Labs Pvt Ltd,Financial Services,Maharashtra,111,Organic Search,Professional,7/4/2023,12/4/2025,1/4/2026,4999,5,29,3,66,3,Not Applicable,12/1/2025
CUST00104,TrueNorth DataWorks Pvt Ltd,Information Technology,Maharashtra,29,Organic Search,Basic,4/8/2023,12/8/2025,1/8/2026,1999,0,32,2,67,3,Not Applicable,11/7/2025
CUST00105,BrightPath Cloud Services Private Limited,Professional Services,Maharashtra,36,Paid Ads,Basic,3/2/2025,9/2/2025,10/2/2025,1999,0,6,6,47,3,Budget Reduction,7/1/2025
CUST00106,BrightPath Analytics Pvt Ltd,Information Technology,Gujarat,37,Paid Ads,Basic,7/5/2023,7/5/2024,7/5/2025,1999,5,1,2,64,3,Poor Support,12/13/2024
CUST00107,Saffron Business Services Pvt Ltd,Information Technology,Rajasthan,170,Partner,Basic,10/14/2023,12/14/2025,1/14/2026,1999,0,26,4,56,3,Not Applicable,12/8/2025
CUST00108,UrbanGrid Solutions Pvt Ltd,Media & Marketing,Haryana,845,Organic Search,Professional,9/18/2023,12/18/2025,1/18/2026,4999,0,27,8,82,3,Not Applicable,12/27/2025
CUST00109,Aditya Business Services Private Limited,Logistics & Transportation,Maharashtra,118,Partner,Basic,4/14/2024,12/14/2025,1/14/2026,1999,0,20,3,81,3,Not Applicable,11/9/2025
CUST00110,Indigo Technologies India Pvt Ltd,E-commerce & Retail,Telangana,188,Sales Team,Basic,5/13/2023,5/13/2025,5/13/2026,1999,0,2,20,71,2,Not Applicable,12/24/2025
CUST00111,Aditya DataWorks India Pvt Ltd,E-commerce & Retail,Maharashtra,13,Partner,Basic,3/5/2024,3/5/2025,3/5/2026,1999,5,1,21,69,3,Not Applicable,11/29/2025
CUST00112,Vertex Advisory Private Limited,Financial Services,Telangana,5716,Partner,Business,1/24/2023,1/24/2025,1/24/2026,9999,0,2,9,73,4,Not Applicable,9/24/2025
CUST00113,Aarav DataWorks Pvt Ltd,Financial Services,Maharashtra,25,Paid Ads,Professional,8/16/2024,8/16/2025,8/16/2026,4999,10,1,4,67,3,Not Applicable,10/25/2025
CUST00114,Zenith DataWorks Private Limited,Information Technology,Maharashtra,12,Organic Search,Basic,6/12/2023,6/12/2025,6/12/2026,1999,5,2,3,49,3,Not Applicable,12/30/2025
CUST00115,Delta Digital Solutions India Pvt Ltd,Healthcare,Karnataka,126,Organic Search,Business,3/6/2023,3/6/2025,3/6/2026,9999,10,2,4,74,3,Not Applicable,10/27/2025
CUST00116,Uday Solutions Pvt Ltd,Real Estate,Karnataka,69,Referral,Professional,10/1/2025,12/1/2025,1/1/2026,4999,0,2,2,100,5,Not Applicable,10/1/2025
CUST00117,Pioneer Growth Solutions India Pvt Ltd,Professional Services,Gujarat,23,Paid Ads,Basic,12/5/2024,12/5/2025,1/5/2026,1999,5,12,9,42,2,Not Applicable,12/18/2025
CUST00118,Apex Digital Solutions India Pvt Ltd,Manufacturing,West Bengal,840,Organic Search,Business,10/6/2025,12/6/2025,1/6/2026,9999,10,2,26,100,4,Not Applicable,12/10/2025
CUST00119,Vyom CloudWorks India Pvt Ltd,Information Technology,Kerala,2728,Partner,Professional,3/3/2025,12/3/2025,1/3/2026,4999,5,9,50,71,2,Not Applicable,12/5/2025
CUST00120,Sterling Advisory Pvt Ltd,Information Technology,Maharashtra,87,Partner,Basic,2/21/2024,12/21/2025,1/21/2026,1999,0,22,5,84,4,Not Applicable,12/24/2025
CUST00121,Indo Consulting Pvt Ltd,E-commerce & Retail,Maharashtra,165,Sales Team,Professional,1/23/2024,7/23/2024,8/23/2024,4999,0,6,3,61,3,Switched to Competitor,1/27/2024
CUST00122,YellowStone Analytics India Pvt Ltd,Information Technology,Haryana,24,Organic Search,Basic,9/7/2023,9/7/2025,9/7/2026,1999,5,2,10,45,2,Not Applicable,12/16/2025
CUST00123,Astra Technologies India Pvt Ltd,Education,Gujarat,175,Referral,Professional,2/20/2024,2/20/2025,2/20/2026,4999,0,1,4,92,4,Not Applicable,12/18/2025
CUST00124,Skyline Solutions India Pvt Ltd,Information Technology,Uttar Pradesh,125,Referral,Professional,10/27/2023,12/27/2025,1/27/2026,4999,0,26,14,49,3,Not Applicable,12/5/2025
CUST00125,Zephyr Business Services Private Limited,Information Technology,Uttar Pradesh,35,Sales Team,Professional,2/18/2025,12/18/2025,1/18/2026,4999,0,10,7,61,3,Not Applicable,8/21/2025
CUST00126,Saffron Growth Solutions Private Limited,Information Technology,Maharashtra,5,Organic Search,Professional,3/16/2023,3/16/2025,3/16/2026,4999,15,2,2,96,5,Not Applicable,12/17/2025
CUST00127,FutureGrid Smart Solutions Pvt Ltd,E-commerce & Retail,Tamil Nadu,259,Referral,Basic,1/17/2023,12/17/2025,1/17/2026,1999,5,35,7,59,3,Not Applicable,12/12/2025
CUST00128,Iris IT Services India Pvt Ltd,Media & Marketing,Tamil Nadu,907,Referral,Professional,1/9/2024,1/9/2025,1/9/2026,4999,0,1,3,100,5,Not Applicable,10/26/2025
CUST00129,Quest Systems Pvt Ltd,Information Technology,Gujarat,250,Organic Search,Professional,8/26/2025,12/26/2025,1/26/2026,4999,10,4,7,80,4,Not Applicable,12/22/2025
CUST00130,Nexa Enterprise Solutions Private Limited,Information Technology,Karnataka,7326,Partner,Enterprise,9/27/2023,9/27/2025,9/27/2026,24999,10,2,6,69,3,Not Applicable,9/7/2025
CUST00131,Axiom Cloud Services Private Limited,Information Technology,West Bengal,839,Paid Ads,Professional,2/3/2024,2/3/2025,2/3/2026,4999,10,1,6,79,3,Not Applicable,12/1/2025
CUST00132,Solara Cloud Services Pvt Ltd,E-commerce & Retail,Maharashtra,236,Social Media,Business,1/26/2023,1/26/2025,1/26/2026,9999,5,2,11,95,4,Not Applicable,12/24/2025
CUST00133,Vistara Digital Works Pvt Ltd,Logistics & Transportation,Karnataka,697,Sales Team,Enterprise,3/4/2024,12/4/2025,1/4/2026,24999,10,21,5,97,4,Not Applicable,12/8/2025
CUST00134,Cosmos Digital Solutions Private Limited,Financial Services,Gujarat,540,Sales Team,Business,8/18/2023,8/18/2024,9/18/2024,9999,10,12,23,88,4,Business Closure,2/24/2024
CUST00135,GreenLeaf Infotech Pvt Ltd,Information Technology,Maharashtra,202,Referral,Professional,1/3/2025,12/3/2025,1/3/2026,4999,10,11,2,60,3,Not Applicable,11/30/2025
CUST00136,Pioneer Technology Partners Private Limited,Manufacturing,Delhi,206,Organic Search,Business,9/5/2023,9/5/2025,9/5/2026,9999,10,2,10,92,4,Not Applicable,12/26/2025
CUST00137,NextWave Technology Partners India Pvt Ltd,E-commerce & Retail,Haryana,49,Paid Ads,Professional,3/27/2023,3/27/2024,3/27/2025,4999,10,1,2,46,2,Missing Features,3/18/2025
CUST00138,Whiz Digital Solutions Pvt Ltd,Information Technology,Maharashtra,146,Organic Search,Professional,3/5/2024,3/5/2025,3/5/2026,4999,0,1,12,60,3,Not Applicable,11/5/2025
CUST00139,Delta Analytics Private Limited,E-commerce & Retail,Telangana,2588,Paid Ads,Enterprise,6/11/2025,12/11/2025,1/11/2026,24999,10,6,18,82,3,Not Applicable,11/21/2025
CUST00140,Xcel Growth Solutions India Pvt Ltd,Professional Services,Uttar Pradesh,208,Paid Ads,Enterprise,11/9/2024,11/9/2025,11/9/2026,24999,5,1,10,55,3,Not Applicable,12/30/2025
CUST00141,Crescent Information Systems India Pvt Ltd,Information Technology,Maharashtra,42,Referral,Basic,9/1/2025,12/1/2025,1/1/2026,1999,0,3,0,71,4,Not Applicable,11/26/2025
CUST00142,Cedar IT Services Pvt Ltd,Information Technology,Gujarat,255,Sales Team,Business,7/18/2023,7/18/2025,7/18/2026,9999,15,2,3,95,4,Not Applicable,10/15/2025
